,Unique_ID,Reviewer_Name,No-of_comment_likes,No-of_comment_dislikes,comment,Ratings,comment_text,word_counts
1358,1359,Syed Ahmed,0,0,Good quality product,1,"Display quality was exlent,camera was good,battry performance avarage.phone ok but OnePlus service centre not available all cities.But pick and drop was available for service..",249
1184,1185,Rohit Raj,0,0,Wonderful,1,Phone is so smooth.Phone is looking so ??.,67
1214,1215,Yogi  Suresh Kumar ,0,1,Did not meet expectations,0,Battery drain issue in phone . Battery drain like butter.,88
1102,1103,Aniket  Rajak,0,0,Nice,1,Battery problem.,23
890,891,BIJAN DAS,1,1,Highly recommended,1,Very balanced phone with clean softwareBattery life can be improved.,99
1057,1058,Flipkart Customer,0,1,Decent product,1,"Everything is excellent, exept battery.it drains so fast as iam using a 3000 mah phone.iam only getting barely 4-6hours screentime.most of the time around 4 hours.also phone heating whenever you use your phone ,even with simple use..",345
1155,1156,Tejaswini  chandrakar,0,0,Classy product,1,Best in.,15
182,183,Naresh  Gaddam,2,0,Highly recommended,1,Nice camera performance.,34
91,92,Mohamed  Fahad,1,0,Worth every penny,1,"One of the best flagship mobile with many features i bought S23 FE for 32k at offer worth for money , only con is battery life is less u need to charge twice a day if u r using ur mobie continously other than that best mobile with good camera quality,  design , performance all are awesome and Galaxy AI feature is superb 🤩 i would recommend to buy this mobile if it again comes in offer prize below 35k. if your budget is above 45k then go for S23 model..",729
1326,1327,Salim Ali,0,0,Highly recommended,1,"The phone is awesome. Display is beautiful with high pixel density. Performance is heavy, but Oxygen OS13 needs to be more optimised. Some apps don't support 120hz refresh rate. Camera is quite good. You can play all kinds of games at high settings. Overall, a solid performer. Just the battery is average, with 5-7 hours of SOT. It's quite hard to get more than that..",565
235,236,Bilal razak Belim,1,0,Great product,1,Only 1 word bestttttttttttt.,41
859,860,Marcus  Lalfakzuala,1,0,Classy product,1,"It is a good phone on this price range, Camera is ok, BGMI with smooth 90fps for gamer. And the design is really cool..",192
1000,1001,Thandra sreedhar,0,0,Terrific,1,Good.,9
963,964,Aleti Bunny,0,0,Pretty good,1,SUPER.,10
188,189,Flipkart Customer,7,3,Nice product,1,Phone is very good.curved display is amazing 😍😍.in Box phone plastic cover not good..,128
1359,1360,Vijen Singh,0,0,Mind-blowing purchase,1,Good product.,20
184,185,Sougata Das,3,0,Worth the money,1,"Everything seems pretty good except the camera , definitely it's not that bad but compared with s21 fe,or vivo v27 pro, it can't even go close, display is just fantastic,.",262
418,419,Vishwas Shetty,0,0,Best in the market!,1,Nice phone.,18
739,740,Ayush kumar patel Customer,2,0,Good choice,1,Very good phone ????????.,38
1077,1078,Mugheer Anjum  Khan ,0,0,Fair,1,Heating problem.,23
1384,1385,Paritosh Kumar,0,0,Pretty good,1,Good ??.,15
552,553,Nayanjyoti  Mahanta,0,0,Terrific,1,Awesome Phone.Great Value for Money.,52
142,143,Chinmaya chihnara,110,20,Excellent,1,"I love to used this OnePlus 11R device since 2 weeks,this smartphone charging speed is excellent, fully charged within 25 minutes, it gives 24 hr backup for me,used only for streaming online and this device having excellent processor,even there is no lag during playing BGMI or any other games, camera is decent and it's OS is my favourite, overall it's a excellent smartphone..",568
912,913,Shubham Raj,0,0,Pretty good,1,All thing is good but battery drain is very fast.,80
460,461,Samim Baishakhi SK,0,0,Awesome,1,Go for it.,20
1344,1345,Surajit  Roy ,0,0,Simply awesome,1,Nice product.,20
934,935,Ajit Nishad,0,0,Perfect product!,1,Phone ig veri osm so nice ??Valum laud And betari bekam nice And display osm Luk ig veri good I am so happy This mai new phone veri beautiful ???.,237
1354,1355,Mitul Lahkar,0,0,Delightful,1,My first OnePlus phone. A balanced phone. But design could have been improved as compared to the price..,159
1406,1407,Rahul Shekokar,0,0,Wonderful,1,Brilliant phone ???.,30
310,311,Pradeep Kumar  PkP,1,0,Must buy!,1,Very nice mobile I like.,40
867,868,Kalyan Charan VSG,2,2,Brilliant,1,Nice product so far. Battery life is 20 hrs on 34 min full charge. The camera quality is decent. Overall good but I. The current price range..,224
29,30,Rohit T,2,0,Really Nice,1,Have your charger always with u 😂.,56
99,100,AnjaN RøçK,1,0,Highly recommended,1,Very nice love it.,31
1204,1205,M Sai kumar Reddy,0,0,Awesome,1,Just go for it...,30
1320,1321,Flipkart Customer,0,0,Best in the market!,1,"Good porfomens and good clarity display,rich colours high contrast very good nort 3,.",125
518,519,Gurudeep  Sharma ,0,0,Terrific,1,"Osm phine , luxury feelings, bt design should be improve🥰.",89
465,466,Veeramani  Veera,0,0,Brilliant,1,Super.,10
1050,1051,Mathan  Mohan ,2,0,Unsatisfactory,0,Overheating+ display renterDon't buy this mobile.,68
725,726,Gaurav  Yadav ,5,1,Worth every penny,1,Good OnePlus nord3 5g olit.,43
148,149,Ravi Rawat,45,6,Fabulous!,1,Overall performance is great but the battery drains faster I hope it will be better.,130
1127,1128,ABHAY ANAND,0,0,Brilliant,1,Very nice mobile. Everything is very good..,65
22,23,SHIVAM CHAWLA,10,5,Very Good,1,"Camera is very good. Captures  very clear pictures in all modes.Build is also solid , just a slight problem of phone getting hang is observed couple of times.Battery backup is upto the mark , no issues ..",315
1169,1170,Abdul Siddi,0,0,Just wow!,1,Good ??.,15
1302,1303,Anant  Kumar,0,0,Very Good,1,Very good.,17
555,556,Chandubattla  Venu ,0,0,Terrific,1,Awesome.,12
788,789,Flipkart Customer,1,0,Delightful,1,Good performance.,24
1377,1378,Thulasi Dharan,0,0,Wonderful,1,Every thing ok but battery only issue in this mobile but over all excellent phone.,128
241,242,akash Jadhav ,1,0,Highly recommended,1,Good performance.,24
1043,1044,Shambhu Kumbhakar,0,0,Fabulous!,1,Very nice ????.,25
467,468,Pradeep  Bafila,0,0,Expected a better product,1,Battery draining to fast battery backup is worst.,74
1007,1008,Akash Kumar,0,0,Value-for-money,1,"This phone has heating issues and battery backup is also not so good. Overall this phone is best for user experience, camera, display quality unbeatable in the Price of around 22k..",275
861,862,Sunil Panday,1,0,Must buy!,1,Stable phone on all marks.,42
471,472,Flipkart Customer,0,0,Simply awesome,1,Excellent phone overall performance is best 💥.,68
606,607,Anuj Vatsal,0,0,Good choice,1,"Its slight costly other than mobile in this range but when you will compare this mobile in this range with another mobile, you will find this is the right choice. Overall performance and camera quality is very good.Go for it without comparison and hesitation..",393
413,414,Md Jawed Alam,0,0,Just wow!,1,Impressive.,15
1089,1090,Sanjay S,0,1,Decent product,1,Not worth for the money. Screen resolution is not good.,86
1037,1038,Praveen Aggarwal,0,0,Amazing Phone,1,The phone is worth it and has amazing features..,76
908,909,Omg Omg,0,0,Must buy!,1,The phone is excellent if you can get it under 22k . Battery life will disappoint you but charging speed makes for this.The camera is excellent.And the low light performance is amazing..,283
814,815,Vasanthakumar ,0,0,Worth every penny,1,Super best mobile.,28
251,252,abhi  bouri,0,0,Very Good,1,Good 👍.,14
808,809,KRISHNA MOHAN TIWARI,0,0,Must buy!,1,Good looking ........m.......,39
478,479,Chetan Chahakar,0,1,Did not meet expectations,0,Problem in  networkOnce device goes in 4g network then automatically not go in 5g ..,129
1073,1074,Nitin  Pilkhwal ,0,0,Wonderful,1,Good.,9
806,807,Prachi  Rasal,0,0,Excellent,1,THE PHONE WAS SO GREAT ?? AND THE CAMERA WAS SO NICE IN DAY LIGHT THE PHOTOS QUALITY IS GREAT AND IN BGMI GIVES 90FPS AND BATTERY IS SO MUCH GREAT THE SCREEN TIME IS 11.25 HRS BUT I CHARGED 2 TIMES ONLY THE PHONE GIVES VERY GOOD BACK UP.,388
225,226,SAYANTAN  MISRA,2,1,Terrific,1,"Awesome phone in this segment in terms of performance,camera, Design just awesome i loved this device.",151
825,826,Ashish Kumar chaudhary,1,0,Wonderful,1,Battery backup is very poor??Display is wonderful??Prosseser like a wow but hitting problem??Disign very beautiful ??Nice product in this range??.,207
734,735,Ripan Sutradhar,1,0,Really Nice,1,Great smartphone.,24
1138,1139,Raja Biswas,0,0,Brilliant,1,Overall good phone.,29
1297,1298,AMIT KUMAR,0,0,Wonderful,1,Best in camera ?? quality and display is very smooth..,85
733,734,Ranjeet singh,2,0,Delightful,1,Review after 1 monthBattery quite good but when using and game like pubg COD it's so heatedCamera 8/10Battery 8/10Performance 07/10 heating issueLook wise 09/10Map continue 06/10 battery draining fastNetflix 07/10 battery draining fast.,336
76,77,Flipkart Customer,2,0,Classy product,1,Good product.,20
159,160,Nadeem  Ashraf,11,1,Highly recommended,1,Amazing performance in snapdragon 8gen 1 is a beat for multitaskingCamera is some time averageCharging is amazingBut battery drain is too fast like chargingDesign is awsm.,250
826,827,Flipkart Customer,1,0,Highly recommended,1,Supar ????????.,22
782,783,Jagan Khuntia,1,0,Nice product,1,Value for money.,26
283,284,rehan alam  rehan,0,0,Wonderful,1,GOOD VALUE FOR MONEY PRODUCT FROM ONEPLUS BUT CAMERA IS AVERAGE AND PERFORMANCE IS UNDER CLOCKED BUT GOOD OVERALL EXPERIENCE HAPPY WITH THE ONEPLUS 11R 5G.,234
18,19,Manjunath H,3,0,Wonderful,1,Everything is perfect except battery performance..,69
1189,1190,Nalla Thambi ,0,0,Really Nice,1,Good.,9
425,426,Khehang  Tekwa,0,0,Best in the market!,1,Awesome 👍.,17
592,593,Manoj kumar  Jena,0,0,Wonderful,1,Thank you flipcart.,29
287,288,Ritam Pathak,1,0,Mind-blowing purchase,1,"Great phone overall. Display, design and performance is top notch. The camera and battery life is pretty good as well. You might get a better camera with Samsung galaxy S21 FE or Google pixel at this range, doesn't mean this one's camera is bad in any sense. But if your primary focus is on the camera you might want to buy the phones I've mentioned above. Otherwise if you want a phone with smooth performance, fantastic display and a great OS (OnePlus' Oxygen OS is undoubtedly the best except G....",772
1111,1112,Yuwraj  Kumar ,0,0,Must buy!,1,Excellent cemra quality ??.,40
163,164,Dinesh Singh,8,1,Terrific,1,One plus mobile is....Best.,40
871,872,Purnima Kumar,1,0,Nice,1,"It heats up very fast, and discharges fastly.",70
491,492,AMIT MOHAPATRA,0,0,Super!,1,Excellent Phone..,24
755,756,Viku  Gouda,1,0,Excellent,1,Super camera.,20
538,539,Chhavilal Kumar,0,0,Super!,1,Superb camera qualityBest phone in this range.....,72
737,738,Atul Kumar  Gautam,2,0,Very Good,1,Good product.,20
282,283,Ankur Yadav,1,0,Wonderful,1,OnePlus 11R 5G.,25
223,224,Flipkart Customer,2,1,Must buy!,1,100watts - superb50mp camera - is the best others are only okDisplay top notch 1.5k curved display5000mah battery okay for 7hrs of screen on time for moderate and 5 hrs with rough useBiggest advantage of the alert sliderMake sure to buy the 16gb ram and 258gb rom storage option..bcs 8gb is not enoughCG5 front and back is so goodBack glass is frosted and buttery to use..Make sure to use caseBuy new case for OnePlus 11r (nillkin 1200 on amazon)Less heat issues.,707
140,141,chirag gupta,26,8,Very Good,1,"Brought  Samsung  galaxy  S23 fe 15 days ago....Camera  Quality  is good  , Battery  last for 1 , touch  is Quite  soft , overall  Gives  a premium  look... nice phone..",245
947,948,Sukanta  Sardar ,0,0,Terrific,1,It's a powerful gazette.......,43
387,388,Flipkart Customer,0,0,Just okay,1,"Don't buy it There is a software issues, automatically switched off and updating..",122
1059,1060,rahul pal,0,0,Wonderful,1,Easy to operate good product.,45
735,736,Flipkart Customer,2,0,Worth the money,1,"Very nice mobile, but average cameras??.",59
1145,1146,ranajit das,0,0,Worth every penny,1,This phone is awesome ??.,41
722,723,Krishna Baroi,3,0,Perfect product!,1,Excellent performance.,29
438,439,Mohammed  Asrar,0,0,Classy product,1,My life best phone good Flipkart.,52
588,589,M chandrababu Chandra,0,0,Good,1,Battary performance loo.,34
549,550,Abhay  Kaundal,0,0,Terrific,1,Awesome product.,23
376,377,Saptarshi  Dasgupta,0,0,Just wow!,1,The best product in this prize range.,59
216,217,Sunit  Sriwastwa,3,2,Terrific,1,"I have switched from Iphone 13 to OnePlus 11R and trust me guys I never miss iPhone  or regret my decision.Camera, Performance, Display,Battery etc everything top notch..",251
1341,1342,Mayur Ladwa,0,0,Best in the market!,1,"Phone is great with O haptics featurePhone battery capacity is good, but once you charge it in super-vooc mode and using normaly social media apps it slightly getting worm.The Camera is good in light but night mode is slightly going to the bad side.Macro lens addition is good but not that good with image clarity.The back cover is good as expected  but the color of the back cover is black instead of grey as they showcased.Battery ideal time drainage is very less, like 1% average..",739
366,367,Ashish Goswami,0,0,Value-for-money,1,Best.,9
719,720,Shaikh  Shahrukh ,3,0,Perfect product!,1,Osm product Flipkart fabulous product.,54
1076,1077,DIPAK Jamra,1,1,Decent product,0,Hitting issu and batter life poor bad battery backup and hitting problam ????.,118
503,504,Chandrakant Nyamagoud,0,1,Decent product,1,Battery backup no.,28
1363,1364,Jakaram Narsimulu ,0,0,Fabulous!,1,Good.,9
613,614,DAVID CLEMENT,0,0,Worthless,0,Do not buy this!! I repeat do not buy this mobile go for some other version or other brand altogether they've degraded the performance with updates.,227
1247,1248,Ganesh Raman,0,0,Super!,1,Amazing phone.,21
38,39,Victor Belamara,2,0,Great product,1,"the Samsung Galaxy S23 FE 128GB variant delivers an almost flagship-level experience with its stunning display, powerful performance, and versatile camera system. The only significant drawback is the battery life, which might not suffice for power users. Nevertheless, for those seeking a high-quality smartphone at a reasonable price, the Galaxy S23 FE is a compelling choice that offers great value for money.Overall, despite the battery backup issue, my experience with the Samsung Galaxy S23 F....",727
1036,1037,Flipkart Customer,0,0,Must buy!,1,Excellent.,14
1060,1061,Flipkart Customer,0,0,Delightful,1,The phone is good but it's heat instantly.,67
338,339,Ajith M,0,0,Really Nice,1,Camera average but optimus is goodPerformance good.,73
575,576,Surendra singh Yadav,0,0,Good quality product,1,Good phone.,18
60,61,Mustak Ali,1,0,Value-for-money,1,Gud but.,15
1097,1098,Flipkart Customer,0,0,Wonderful,1,Very good product.,28
917,918,PANESH KUMAR,0,0,Simply awesome,1,Great.,10
222,223,Flipkart Customer,2,1,Great product,1,"Phone was just superb, camera, gaming, charging..⚡ battery life.  display......😘🤍.",112
792,793,Kamarudin Khan,0,0,Very Good,1,One of the best all-rounder phone under 30k.,69
386,387,Sudhir Gupta,0,1,Expected a better product,0,When Mobile is hangs then it will not opened before 20-30 min.,99
787,788,Rakesh Roshan  sahoo,1,0,Pretty good,1,I used this device  last 10 days.its  heptic vibration is too good.I think oneplus will be working on battery department..,181
1192,1193,Naushad Khan,0,0,Super!,1,Over All Handset is perfectly superb with 1.5k Display and Dolby Audio.,108
209,210,Flipkart Customer,2,0,Terrific purchase,1,Good.,9
982,983,vikash bijalwan,0,0,Excellent,1,Excellence ????????Thanks a lots of Flipkart..,65
379,380,Flipkart Customer,0,0,Just wow!,1,Out standing.,20
915,916,Monu ja8v,0,0,Just wow!,1,Best product.,20
655,656,Gugu  Panda,0,0,Classy product,1,Nice 🙂.,14
1125,1126,Aditya Anurag Mishra,0,0,Mind-blowing purchase,1,Best phone.,18
1091,1092,Karan Veer,1,1,Very poor,0,Very poor battery life ..,41
1312,1313,Flipkart Customer,0,0,Horrible,0,As a OnePlus lover I can confirm this is the worst model OnePlus ever had I'm just using for 10 days and it's started disturbing like hellHeating issue camera quality isn't worth it The camera got blur whenever u left it's on for more than 2mins ...... such a waste of money.,432
895,896,Flipkart Customer,0,0,Fabulous!,1,Super mast fhone.,27
1090,1091,prahlad basumatary,0,0,Good choice,1,Decent product.,22
969,970,ASHWANI TIWARI ,0,1,Worth the money,1,Nice phone but  battery is a weak point..,65
803,804,prakash taware,1,0,Worth every penny,1,Camera superbAnd performs good.,44
638,639,shyamsundar  dore,0,0,Really Nice,1,nice device but price is little bit high.,66
85,86,Asha Patidar,1,0,Mind-blowing purchase,1,"Go for it, everything is best, initially heating issue but after the update its normal and battery performance is not that great but not that bad as well...for normal user need to charge twice in a day....",317
1327,1328,vikash kumar,0,0,Good choice,1,Overall good??.,22
116,117,Nadim shah,5,2,Hated it!,0,Dont buy this phone It take minimum 1.5 hour to chargeAnd its battery backup is worst.,135
1375,1376,Param Bharti,0,0,Best in the market!,1,It's been two months I am using this mobile. Nice mobile..,92
896,897,Aman Sahani,0,0,Great product,1,Very good.,17
477,478,Shubham  Rayal,0,0,Fabulous!,1,Awesome performance.,27
906,907,Chinmaya Nayak,0,0,Mind-blowing purchase,1,"Value for money, nice product.",46
228,229,Nemraj Parmar,1,0,Excellent,1,Good product.,20
1213,1214,Abhishek Kumar,0,0,Worth every penny,1,Best.,9
977,978,Samin Gazi,0,0,Highly recommended,1,Oneplus nord 3 is a very good powerful processor and Very good quality phone .display 10/10 ????Thank you you .oneplus ??????.,190
1342,1343,Prashant Wagh,1,6,Worthless,0,"Don't buy a OnePlus mobile,,1. You can't use the dual app in it.2. Hotspot speed is slow when used with a laptop3. The display is not bright when used outdoors compared  to my old Redmi K 20.4. The call answering app is a bit confusing, sometimes I rejected calls by mistake by dragging down.5. Photos are just average, doesn't look like they were taken from a 32k mobile, Redmi phone of 15k is having clarity..",636
12,13,Ilaya Perumal,8,2,Good quality product,1,Nice ...💥 but price range is high level...🫥 heating issues irukku...😬.,104
1113,1114,Teja Chowdary,0,0,Brilliant,1,Overall mobile super but battery drains very fast.,75
670,671,Jaly Roy,144,30,Highly recommended,1,Nice camera ??.,25
542,543,Thendral S,0,0,Fabulous!,1,Product is good packing also very good.,61
836,837,yogesh tiwari tiwari,0,0,Excellent,1,good product just fix heating issue via update.,72
9,10,chirag gupta,26,8,Very Good,1,"Brought  Samsung  galaxy  S23 fe 15 days ago....Camera  Quality  is good  , Battery  last for 1 , touch  is Quite  soft , overall  Gives  a premium  look... nice phone..",245
500,501,Deep Bandyopadhyay,0,0,Delightful,1,All good but charging time pH is too heat...,72
1379,1380,Rajdeo Kumar,0,0,Worth the money,1,Nice product..,21
879,880,vanantharao kotakonda,0,0,Decent product,1,Battery is drain fast charging ok Battery drain fast.,81
1318,1319,Happy  Mohapatra ,0,0,Good,1,Please don't waste your moneyBecause battery power is very low quality..,106
363,364,Pranshu Chauhan,0,0,Brilliant,1,Good 👍.,14
572,573,MARLEEN Customer,0,0,Great product,1,"Very Nice Phone after the OnePlus 7Pro, Worth buying. Camera is superb.",108
334,335,Rohit Thakur,0,0,Perfect product!,1,Good Camera.,19
729,730,Snehasish Mondal ,6,2,Terrific,1,"The OnePlus Nord 3 impresses on all fronts, delivering a powerful and well-rounded smartphone experience. It strikes the perfect balance between performance, design, and affordability, making it a strong contender in the mid-range smartphone market. If you're in the market for a capable device without breaking the bank, the Nord 3 should be at the top of your list.Pros:Exceptional performanceStunning AMOLED display with high refresh rateSleek and premium designEfficient OxygenOS softwar....",709
1026,1027,Flipkart Customer,0,0,Decent product,1,Very nice ??.,23
191,192,Deepesh Sangwhiya,4,1,Classy product,1,"Battery backup is low.But camera, display and performance is awesome.",100
115,116,Jyoti Ghenekar  Ghenekar ,0,0,Simply awesome,1,Lovely model.,20
1411,1412,Manoj  Chauhan,0,0,Must buy!,1,Value for money great product....,49
383,384,Deepak Pathak,0,0,Brilliant,1,Nice phone...,20
1270,1271,Abhishek Yadav,0,0,Pretty good,1,Good.,9
1122,1123,Asif raza,0,0,Just wow!,1,Osm produ.,17
1278,1279,Flipkart Customer,0,0,Fair,1,The product was good but the service delivery by Flipkart was the worst.,112
1108,1109,Yash Sharma,0,0,Simply awesome,1,Best in this segment.,34
764,765,Pulkit Rathi,2,0,Nice,1,"Phone is nice. Looks good in hand. But there is a massive battery drain issue. I can't even use it with minimal work for a full one day without charging. I had to disable 5G, location services and reduce screen refresh time just to extend a few hours. Charging is fast but you'll need to charge this phone very frequently..",504
1282,1283,Pradeep  Rai,0,0,Super!,1,Best mobile.,19
863,864,Yogesh  Sonwane,1,0,Fabulous!,1,Every thing is soo good about this phone..,67
546,547,Rahul Kumar,0,0,Awesome,1,This camera view is excellent and but price is very high.,91
348,349,Soumya Halder,0,0,Terrific purchase,1,performance camera battery superb.,47
82,83,Kartheek Anupuram,1,0,Simply awesome,1,Night mode awesome.. battery drain faster if you are using Hotspot or gaming.,117
1276,1277,Sargam  Kumar ,0,0,Best in the market!,1,"This is my first time to experience oneplus phone among all the mobiles till now. A little battery backup is lacking, everything else is good..",219
274,275,Flipkart Customer,1,0,Worth the money,1,Best phone.,18
449,450,Vijay Bahaddur,1,3,Worst experience ever!,0,"Heating problem and no more options for app icons, only 3 options to edge light,.",127
878,879,Flipkart Customer,1,0,Does the job,1,Not much good just ok look wise nice battery average camera average fingure print takes some times.,151
55,56,Aziz kamry,2,0,Nice,1,"Product is good, but I wanted to send this as a gift to someone but flipkart don't give facility..",156
603,604,Flipkart Customer,0,0,Awesome,1,Amazing product at this price point.,55
790,791,R S Andewadi,1,0,Pretty good,1,Mobile is best for best price but ram is down and update many features  and increase the system camera quality and their charging anthems and it has only a single flash don't 2 it has micro camera and 50 mp camera and front selfie camera  and another one is not worked   processing is fast.,449
325,326,Sumit Chadar,0,0,Pretty good,1,Camra 5/3.,17
818,819,Thirupathi B,0,0,Very Good,1,Good product and camera excellent but battery drain is fast.,91
1238,1239,Narottam Patra,0,0,Does the job,1,I'm not satisfied wid this one..One of my Worst purchase!!.,90
1016,1017,Debasis Das,0,0,Expected a better product,0,Very bad battery backup and hotspot is poor quality.,80
1335,1336,Damini Prakash ,0,0,Awesome,1,Super ??.,16
318,319,maroti chandankar,0,0,Decent product,1,Superb photography all rounder phone.,53
798,799,Amarendera Mohanty,3,2,Terrific purchase,1,Not bad.,15
1194,1195,Kuldeep Kujur,1,2,Waste of money!,0,Heating problem.,23
696,697,Ashwin  Saji,5,0,Great product,1,"Overall, the phone is good. Performance is solid, with no lag in everyday use. The display is one of the best in this segment, with no issues using it in direct sunlight. The speakers are also good. It supports 80W charging, which is fast. However, the battery is slightly weak in this phone. For my use, it lasts for one day. I do play Call of Duty, and the gameplay is smooth..",596
295,296,Flipkart Customer,1,0,Mind-blowing purchase,1,I like the camera quality...n also the colour of phone.,86
1132,1133,Deepak Rajput,0,0,Wonderful,1,Gud.,8
845,846,Flipkart Customer,1,0,Good choice,1,Good.,9
353,354,Reddi Sekhar,0,0,Really Nice,1,Good.,9
1284,1285,Deepak Pandey,0,0,Classy product,1,CongratulationsOnePlus noad 3Offers Budget phone.,65
207,208,Siba prasad Patra,2,0,Fabulous!,1,Amazing phone. Such a good looking and slim phone. Display quality is also amazing. This is my 1st day of use. I will be updates again later..,224
692,693,Devansh Rohit,6,0,Highly recommended,1,"I am using it from the last  4 months .Camera is ????Display, Brightness is ????Battery, Charging is ????Phone minor heat with heavy game use ,But it's commonPerformance is not so excellent like iqooBut it is good , no lag , no hang nothing at all..",384
455,456,Anil Yadav,1,0,Bad quality,0,Display problem.,23
554,555,Flipkart Customer,0,0,Brilliant,1,Awesome 💯.,17
953,954,SONI JAYESHKUMAR M,0,0,Mind-blowing purchase,1,Super value for money Go for it.,54
615,616,venky  venkatesh LatchiReddy,0,0,Highly recommended,1,Good phone.,18
297,298,K S Nikhhil,1,0,Classy product,1,One plus is back 😄.,35
731,732,Siltu Samanta,13,9,Highly recommended,1,Nice ??.,15
36,37,Pradeep  Padamukhe,7,3,Best in the market!,1,Overall good but battery little bit low.,62
784,785,Sandeep Dhurwey,1,0,Nice product,1,Amezing.,12
730,731,Flipkart Customer,4,1,Value-for-money,1,It is the best smartphone for everyone who is looking for an all rounder phone under 25k.I was worried about its reviews about heating and battery drain but in my device there is no such problem. Yeah this device slightly heats up while gaming or heavy tasks but it is normal these days.Overall a good value for money smartphone..,508
855,856,Arpit  Umate,1,0,Must buy!,1,Best for 30k cameras are awesome ??.,58
658,659,Flipkart Customer,0,0,Awesome,1,Need to more upgrade to front camara.,59
1105,1106,kartik Das,1,0,Bad quality,0,This Device Is some  Times Varey Hitting Some times i min Bgmi And C.O.D Games this not use this Device.,164
329,330,Flipkart Customer,0,0,Terrific purchase,1,Every thing is very good.,41
773,774,Devanand Singh,1,0,Pretty good,1,Everything is good except battery life.,58
961,962,Avi Raj,0,0,Wonderful,1,Nice product.,20
695,696,Flipkart Customer,17,5,Great product,1,Awesome camera battery display and smooth running I love it.,91
258,259,Saurabh Singh,1,0,Terrific purchase,1,Beautiful ❤️.,20
1103,1104,Flipkart Customer,0,0,Very Good,1,All ok...konjam heating issues erukku.,54
1002,1003,Flipkart Customer,0,0,Highly recommended,1,This mobile is amazing.Camera clarity is too good..,76
573,574,Flipkart Customer,0,0,Delightful,1,"Camera is good but could have been great in this price, bettery discharges too fast otherwise a good mobile in this price..it hangs occasionally.",218
718,719,Rajan Kumar,3,0,Must buy!,1,Worth the money..Nice phoneBattery draining issueUpdate may fix the issues.,106
173,174,Rohit G,4,0,Wonderful,1,This phone is totally beast but i face some bugs hope so throw a software it will improve if your budget under 40k you can blindly buy this phone.,234
954,955,Farman,0,0,Super!,1,Thanks Flipkart.,23
195,196,Aamna Khan,2,0,Terrific,1,It's something beyond your own expectations ❤️💗.,70
923,924,Mukhtyar Ali,0,0,Mind-blowing purchase,1,Good.,9
33,34,Tuhin  Mondal,5,2,Perfect product!,1,"Sometimes it becomes impossible to touch the mobile because of heat. Other than the heating issue, everything is great. To be specific, camera, display, look these are the plus point for this mobile..",300
675,676,Arshad Hussain,88,23,Very Good,1,"Nord 3 product goodCamera ?? good,.",54
129,130,Ujjal Banerjee,1,1,Simply awesome,1,"Pros:1. Camera flagship level.2. Display excellent.3. Sound decent.4. Software/UI excellent.Cons:1. Battery life is poor. Requires to be charged 2 times in a day.Had m51 previously which easily lasted for 2 days on medium usage even after 3 years.This one is a very step down from that.2. Phone gets heated on medium usage (excluding gaming), but still manageable..",537
747,748,Charan Sai,2,0,Fabulous!,1,Display top-notch Design superbPerformance awesome Camera is good and decent Battery:- drains fast due to high performance and display quality :).,210
351,352,Rohit Chudasama,0,0,Pretty good,1,Super.,10
946,947,Guntha Mahesh,2,3,Not good,0,"Everything seems okey, But battery drains too quickly ..",84
185,186,Rajesh Kavali,3,0,Terrific purchase,1,Orally performance is good this pic is night mode so camera performance always nice battery level is good.....,165
801,802,Seelam  Chandu ,2,1,Great product,1,Nice camera quality.,30
1402,1403,Flipkart Customer,0,0,Terrific,1,All is well.,22
93,94,Yashuu Punekar,1,0,Classy product,1,Nice mobile its worth it.Nice camera at..,63
430,431,jignesh  mali,0,0,Brilliant,1,Nice mobile.,19
771,772,Pranoy Chakraborty,2,1,Good quality product,1,"The OnePlus Nord 3 is an exceptional smartphone, boasting an impressive blend of powerful features and a sleek design. *Its high-quality 6.7-inch AMOLED display delivers stunning visuals, offering a delightful viewing experience for media and gaming. *With its Flagship processor and 5G capability, the Nord 3 ensures smooth, lag-free performance, making multitasking a breeze. *The camera setup, including a versatile Triple camera system, captures detailed and vibrant photos but could be ....",712
1258,1259,Flipkart Customer,2,0,Worthless,0,Waste.,10
1288,1289,Amit  Sharma,0,0,Just wow!,1,Fast deliveryGood product.,36
384,385,PAVAN GANJI,0,0,Terrific,1,"Worth for Money 💰 Killer chipset 8+gen 1 is the best Performance in BGMI high Graphics, Battery 🔋 Capacity and 100 watt Super hook 💪 Camera 📸 Quality.......",241
625,626,Shailesh  Kumar,0,0,Slightly disappointed,0,One Word For Oneplus11R Outstanding but there is one issue which i am facing is that the IR Blaster is not working properly.,194
203,204,Raj Kumar  Saiyam,2,0,Must buy!,1,Overall good phone.,29
290,291,Pritam Mohapatra,1,0,Terrific,1,In a single word..I love This 💞.,54
1315,1316,Munendra Pratap ,0,0,Simply awesome,1,Nice.,9
682,683,Ashwani  Rajput,36,8,Wonderful,1,Wishing OnePlus for a memory card slot for expand storage.,89
1095,1096,Niravpatel Patel,0,0,Brilliant,1,very nice.,17
860,861,Arghya kumar  Patra,0,0,Terrific,1,Very good mobile and performance.,49
883,884,Dipak Todase,0,0,Good,1,Nice camera.,19
723,724,Syed  Zuber Ahmed,3,0,Wonderful,1,Awesome.,12
288,289,Chiranjit Tarafder,1,0,Simply awesome,1,Good.,9
